

                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



            Producto:        Todos                                           Tipo de documento:  Todos 
           Desde fecha:  01/01/2019          Hasta fecha:31/12/2019          Documento:          Todos 
            LíneaTanq
            Considerando todos los conceptos
          Producto:p1010                     Descripción:Llenado s80 aire

            Fecha        Docto.      Folio Movimiento          Cl/Pv     Cantidad      Precio unitario   Precio total 
        03/Ene/2019    28938       29894 Ventas                klaus           -2.00             40.00         -80.00 
        01/Ene/2019    29323       30287 Ventas                camil           -6.00             40.00       -240.00 
        01/Ene/2019    29323       30355 Canc. factura         camil           6.00              40.00         240.00 
        01/Ene/2019    29326       30358 Canc. factura         miche           6.00              40.00         240.00 
        01/Ene/2019    29326       30290 Ventas                miche           -6.00             40.00       -240.00 
        01/Ene/2019    29329       30293 Ventas                hohle           -4.00             40.00       -160.00 
        01/Ene/2019    29329       30361 Canc. factura         hohle           4.00              40.00         160.00 
        01/Ene/2019    29330       30294 Ventas                dlife           -3.00             40.00       -120.00 
        01/Ene/2019    29330       30362 Canc. factura         dlife           3.00              40.00         120.00 
        01/Ene/2019    29331       30363 Canc. factura         frank           2.00              40.00         80.00 
        01/Ene/2019    29331       30295 Ventas                frank           -2.00             40.00         -80.00 
        01/Ene/2019    29338       30302 Ventas                lou             -2.00             40.00         -80.00 

        01/Ene/2019    29338       30370 Canc. factura         lou             2.00              40.00         80.00 
        01/Ene/2019    29339       30371 Canc. factura         diego           1.00              40.00         40.00 
        01/Ene/2019    29339       30303 Ventas                diego           -1.00             40.00         -40.00 
        01/Ene/2019    29341       30373 Canc. factura         klaus           2.00              40.00         80.00 
        01/Ene/2019    29341       30305 Ventas                klaus           -2.00             40.00         -80.00 
        01/Ene/2019    29342       30374 Canc. factura         trist           10.00             40.00         400.00 
        01/Ene/2019    29342       30306 Ventas                trist         -10.00              40.00       -400.00 
        01/Ene/2019    29343       30375 Canc. factura         jeff            3.00              60.00         180.00 
        01/Ene/2019    29343       30307 Ventas                jeff            -3.00             60.00       -180.00 
        02/Ene/2019    29345       30309 Ventas                blueca          -5.00             40.00       -200.00 
        02/Ene/2019    29345       30401 Canc. factura         blueca          5.00              40.00         200.00 
        02/Ene/2019    29349       30313 Ventas                klaus           -8.00             40.00       -320.00 
        02/Ene/2019    29349       30380 Canc. factura         klaus           8.00              40.00         320.00 

        02/Ene/2019    29357       30321 Ventas                trist           -8.00             40.00       -320.00 
        02/Ene/2019    29357       30388 Canc. factura         trist           8.00              40.00         320.00 
        02/Ene/2019    29358       30322 Ventas                camil           -1.00             40.00         -40.00 
        02/Ene/2019    29358       30389 Canc. factura         camil           1.00              40.00         40.00 
        02/Ene/2019    29363       30327 Ventas                phan          -30.00              40.00       -1,200.00 
        02/Ene/2019    29363       30394 Canc. factura         phan            30.00             40.00       1,200.00 
        02/Ene/2019    29364       30328 Ventas                valen           -2.00             40.00         -80.00 
        02/Ene/2019    29364       30395 Canc. factura         valen           2.00              40.00         80.00 
        02/Ene/2019    29365       30329 Ventas                frank           -2.00             40.00         -80.00 
        02/Ene/2019    29365       30396 Canc. factura         frank           2.00              40.00         80.00 
        03/Ene/2019    29366       30397 Canc. factura       susane            1.00              40.00         40.00 
        03/Ene/2019    29366       30330 Ventas              susane            -1.00             40.00         -40.00 
        03/Ene/2019    29369       30400 Canc. factura         klaus           4.00              40.00         160.00 
        03/Ene/2019    29369       30333 Ventas                klaus           -4.00             40.00       -160.00 

        03/Ene/2019    29370       30402 Canc. factura         trist           10.00             40.00         400.00 
        03/Ene/2019    29370       30334 Ventas                trist         -10.00              40.00       -400.00 
        03/Ene/2019    29377       30409 Canc. factura         valen           2.00              40.00         80.00 
        03/Ene/2019    29377       30341 Ventas                valen           -2.00             40.00         -80.00 
        03/Ene/2019    29387       30351 Ventas                camil         -16.00              40.00       -640.00 
        03/Ene/2019    29387       30419 Canc. factura         camil           16.00             40.00         640.00 
        03/Ene/2019    29389       30353 Ventas                miche           -6.00             40.00       -240.00 
        03/Ene/2019    29389       30421 Canc. factura         miche           6.00              40.00         240.00 
        01/Ene/2019    29392       30424 Ventas              susane            -4.00             40.00       -160.00 
        02/Ene/2019    29402       30434 Ventas                camil           -4.00             40.00       -160.00 
        02/Ene/2019    29403       30435 Ventas                miche           -7.00             40.00       -280.00 
        02/Ene/2019    29404       30436 Ventas                trist           -9.00             40.00       -360.00 
        02/Ene/2019    29405       30437 Ventas                max             -4.00             60.00       -240.00 

        02/Ene/2019    29407       30439 Ventas                roman         -24.00              36.00       -864.00 
        02/Ene/2019    29411       30443 Ventas                dlife           -4.00             40.00       -160.00 
        02/Ene/2019    29412       30444 Ventas                frank           -4.00             40.00       -160.00 
        02/Ene/2019    29414       30446 Ventas                mediv           -5.00             40.00       -200.00 
        02/Ene/2019    29415       30447 Ventas                abyss           -6.00             40.00       -240.00 
        02/Ene/2019    29419       30451 Ventas                klaus           -6.00             40.00       -240.00 

         Usuario:  ADMINISTRADOR                                  |    Fecha y hora26/06/2024  15:01                           Pág.  1 

--------------------------------------------------------------------------



                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



        02/Ene/2019    29421       30453 Ventas              susane            -3.00             40.00       -120.00 
        02/Ene/2019    29423       30455 Ventas                blueca          -6.00             40.00       -240.00 
        03/Ene/2019    29431       30463 Ventas                miche           -4.00             40.00       -160.00 
