

                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



            Producto:        Todos                                           Tipo de documento:  Todos 
           Desde fecha:  01/01/2013          Hasta fecha:31/12/2013          Documento:          Todos 
            L?neaTanq
            Considerando todos los conceptos
          Producto:p1010                     Descripci?n:Llenado s80 aire

            Fecha        Docto.      Folio Movimiento          Cl/Pv     Cantidad      Precio unitario   Precio total 
        15/Jun/2013      169             171tas                phoc          -42.00              15.00       -630.00 
        15/Jun/2013      170             172tas                phan          -20.00              15.00       -300.00 
        01/Jun/2013      173             176tas                phoc            -7.00             15.00       -105.00 
        04/Jun/2013      175             179tas                phoc          -25.00              15.00       -375.00 

        16/Jun/2013      181             185tas                stvbo         -12.00              22.00       -264.00 
        16/Jun/2013      183             187tas                pepe            -4.00             15.00         -60.00 
        16/Jun/2013      184             188tas                pdivi           -8.00             15.00       -120.00 
        16/Jun/2013      185             189tas                phoc          -59.00              15.00       -885.00 
        16/Jun/2013      186             190tas                phan          -32.00              15.00       -480.00 
        04/Jul/2013      188             343c. factura         acuat           49.00             40.00       1,960.00 
        16/Jun/2013      188             192tas                acuat         -49.00              22.00       -1,078.00 
        04/Jul/2013      188             343c. factura         acuat           49.00             22.00       1,078.00 
        16/Jun/2013      188             192tas                acuat         -49.00              40.00       -1,960.00 
        16/Jun/2013      191             195tas                arian           -3.00             22.00         -66.00 
        16/Jun/2013      192             196tas                sebas           -6.00             22.00       -132.00 
        16/Jun/2013      193             197tas                raul            -1.00             20.00         -20.00 
        17/Jun/2013      195             199tas              MOSTR             -2.00             22.00         -44.00 

        17/Jun/2013      197             201tas                phoc            -4.00             15.00         -60.00 
        05/Jul/2013      197             345c. factura         phoc            4.00              15.00         60.00 
        17/Jun/2013      198             202tas                pepe            -9.00             15.00       -135.00 
        17/Jun/2013      199             203tas                pdivi           -7.00             15.00       -105.00 
        17/Jun/2013      200             204tas                phoc          -54.00              15.00       -810.00 
        17/Jun/2013      201             205tas                phan          -17.00              15.00       -255.00 
        18/Jun/2013      204             208tas                klaus         -14.00              20.00       -280.00 
        18/Jun/2013      205             209tas                sebas           -4.00             22.00         -88.00 
        18/Jun/2013      206             210tas                rivie           -5.00             40.00       -200.00 
        18/Jun/2013      207             211tas                raul            -2.00             20.00         -40.00 
        18/Jun/2013      210             214tas                pdivi         -15.00              15.00       -225.00 
        18/Jun/2013      211             215tas                phoc          -47.00              15.00       -705.00 
        19/Jun/2013      213             217tas                stvbo         -10.00              22.00       -220.00 
        19/Jun/2013      214             218tas                klaus         -14.00              20.00       -280.00 

        18/Jun/2013      215             219tas                trist           -8.00             22.00       -176.00 
        19/Jun/2013      216             220tas                sebas           -6.00             22.00       -132.00 
        19/Jun/2013      218             222tas                pepe            -7.00             15.00       -105.00 
        19/Jun/2013      219             223tas                pdivi           -6.00             15.00         -90.00 
        19/Jun/2013      220             224tas                phoc          -64.00              15.00       -960.00 
        19/Jun/2013      221             225tas                phan          -22.00              15.00       -330.00 
        20/Jun/2013      222             226tas                mark            -2.00             22.00         -44.00 
        19/Jun/2013      226             230tas                kris            -3.00             22.00         -66.00 
        19/Jun/2013      227             231tas                mauro           -8.00             22.00       -176.00 
        20/Jun/2013      229             233tas                pepe          -15.00              15.00       -225.00 
        19/Jun/2013      230             234tas                pdivi           -6.00             15.00         -90.00 
        19/Jun/2013      231             235tas                phoc          -40.00              15.00       -600.00 
        21/Jun/2013      233             237tas                bonin           -9.00             25.00       -225.00 

        21/Jun/2013      236             240tas                klaus         -36.00              20.00       -720.00 
        21/Jun/2013      238             242tas                pepe          -26.00              15.00       -390.00 
        21/Jun/2013      239             243tas                pdivi           -8.00             15.00       -120.00 
        21/Jun/2013      240             244tas                phoc          -57.00              15.00       -855.00 
        05/Jul/2013      240             347c. factura         phoc            57.00             15.00         855.00 
        22/Jun/2013      241             245tas                mark            -2.00             22.00         -44.00 
        22/Jun/2013      243             247tas                kris            -3.00             22.00         -66.00 
        22/Jun/2013      244             248tas                raul            -2.00             20.00         -40.00 
        22/Jun/2013      245             249tas                klaus           -4.00             20.00         -80.00 
        22/Jun/2013      246             250tas                pepe          -26.00              15.00       -390.00 
        22/Jun/2013      248             252tas                pdivi         -17.00              15.00       -255.00 
        22/Jun/2013      249             253tas                phoc          -72.00              15.00       -1,080.00 
        23/Jun/2013      250             254tas                mark            -2.00             22.00         -44.00 

        23/Jun/2013      253             257tas                santi           -6.00             22.00       -132.00 
--------------------------------------------------------------------------



                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



        23/Jun/2013      255             259tas                phan          -36.00              15.00       -540.00 
        23/Jun/2013      256             260tas                phoc          -71.00              15.00       -1,065.00 
        23/Jun/2013      257             261tas                pdivi         -19.00              15.00       -285.00 
        23/Jun/2013      258             262tas                pepe          -18.00              15.00       -270.00 
        23/Jun/2013      259             263tas                abyss         -21.00              20.00       -420.00 
        24/Jun/2013      260             264tas                mark            -2.00             22.00         -44.00 
        24/Jun/2013      262             266tas                santi           -6.00             22.00       -132.00 
        24/Jun/2013      264             268tas                pepe          -19.00              15.00       -285.00 
        24/Jun/2013      265             269tas                pdivi         -27.00              15.00       -405.00 
        24/Jun/2013      266             270tas                phoc          -44.00              15.00       -660.00 
        25/Jun/2013      267             271tas                mark            -2.00             22.00         -44.00 

        25/Jun/2013      270             274tas                mauro           -4.00             22.00         -88.00 
        25/Jun/2013      271             275tas                santi           -4.00             22.00         -88.00 
        25/Jun/2013      272             276tas                klaus         -11.00              20.00       -220.00 
        25/Jun/2013      273             277tas                miche           -4.00             40.00       -160.00 
        25/Jun/2013      274             278tas                rogel           -1.00             22.00         -22.00 
        25/Jun/2013      276             280tas                pepe          -28.00              15.00       -420.00 
        25/Jun/2013      277             281tas                pdivi         -32.00              15.00       -480.00 
        25/Jun/2013      278             282tas                phoc          -66.00              15.00       -990.00 
        25/Jun/2013      279             283tas                abyss         -39.00              20.00       -780.00 
        26/Jun/2013      281             285tas                klaus         -11.00              20.00       -220.00 
        26/Jun/2013      282             286tas                ander           -2.00             22.00         -44.00 
        26/Jun/2013      283             287tas                raul            -1.00             20.00         -20.00 
        26/Jun/2013      284             288tas                santi           -4.00             22.00         -88.00 

        26/Jun/2013      285             289tas                mauro           -4.00             22.00         -88.00 
        26/Jun/2013      286             290tas                pepe          -31.00              15.00       -465.00 
        26/Jun/2013      288             292tas                phoc          -73.00              15.00       -1,095.00 
        26/Jun/2013      289             293tas                phan          -28.00              15.00       -420.00 
        27/Jun/2013      297             301tas                mauro           -4.00             22.00         -88.00 
        27/Jun/2013      298             302tas                raul            -1.00             20.00         -20.00 
        27/Jun/2013      299             303tas                klaus           -4.00             20.00         -80.00 
        27/Jun/2013      300             304tas                pepe          -10.00              15.00       -150.00 
        27/Jun/2013      301             305tas                pdivi         -29.00              15.00       -435.00 
        05/Jul/2013      302             350c. factura         phoc            61.00             15.00         915.00 
        27/Jun/2013      302             306tas                phoc          -61.00              15.00       -915.00 
        28/Jun/2013      304             308tas                mark            -2.00             22.00         -44.00 
        28/Jun/2013      309             313tas                dietz           -1.00             40.00         -40.00 
        28/Jun/2013      311             315tas                mauro           -4.00             22.00         -88.00 

        28/Jun/2013      312             316tas                raul            -1.00             20.00         -20.00 
        28/Jun/2013      313             317tas                mayad         -11.00              22.00       -242.00 
        28/Jun/2013      315             319tas                pepe          -19.00              15.00       -285.00 
        28/Jun/2013      316             320tas                pdivi         -28.00              15.00       -420.00 
        28/Jun/2013      317             321tas                phoc          -51.00              15.00       -765.00 
        28/Jun/2013      318             322tas                phan          -31.00              15.00       -465.00 
        29/Jun/2013      319             323tas                acuat         -35.00              22.00       -770.00 
        29/Jun/2013      320             324tas                stvbo           -2.00             22.00         -44.00 
        29/Jun/2013      321             325tas                raul            -1.00             20.00         -20.00 
        29/Jun/2013      322             326tas                klaus           -6.00             20.00       -120.00 
        29/Jun/2013      324             328tas                santi           -4.00             22.00         -88.00 
        29/Jun/2013      326             330tas                pepe          -17.00              15.00       -255.00 
        29/Jun/2013      327             331tas                pdivi         -13.00              15.00       -195.00 

        29/Jun/2013      328             332tas                phoc          -50.00              15.00       -750.00 
        30/Jun/2013      330             334tas                hp              -2.00             22.00         -44.00 
        30/Jun/2013      331             335tas                rogel           -2.00             22.00         -44.00 
        30/Jun/2013      333             337tas                mayad         -20.00              22.00       -440.00 
        30/Jun/2013      334             338tas                pdivi         -12.00              15.00       -180.00 
        30/Jun/2013      335             339tas                phoc          -56.00              15.00       -840.00 
        16/Jun/2013      339             344tas                acuat         -49.00              22.00       -1,078.00 
        17/Jun/2013      340             346tas                phoc            -4.00             15.00         -60.00 
        21/Jun/2013      341             348tas                phoc          -58.00              15.00       -870.00 
        27/Jun/2013      343             351tas                phoc          -61.00              15.00       -915.00 
        01/Jul/2013      350             359tas                stvbo           -4.00             22.00         -88.00 
        01/Jul/2013      351             360tas                klaus         -10.00              20.00       -200.00 
        01/Jul/2013      352             361tas                luisr           -4.00             20.00         -80.00 

        01/Jul/2013      354             363tas                mayad         -10.00              22.00       -220.00 
--------------------------------------------------------------------------



                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



        01/Jul/2013      355             364tas                yanah           -9.00             22.00       -198.00 
        01/Jul/2013      356             365tas                pepe          -19.00              15.00       -285.00 
        01/Jul/2013      357             366tas                pdivi         -22.00              15.00       -330.00 
        01/Jul/2013      358             367tas                phoc          -16.00              15.00       -240.00 
        02/Jul/2013      359             368tas                mark            -2.00             22.00         -44.00 
        02/Jul/2013      360             369tas              MOSTR             -2.00             40.00         -80.00 
        02/Jul/2013      361             370tas                klaus         -10.00              20.00       -200.00 
        02/Jul/2013      362             371tas                stvbo           -6.00             22.00       -132.00 
        02/Jul/2013      363             372tas                mayad         -12.00              22.00       -264.00 
        02/Jul/2013      364             373tas                geral           -2.00             22.00         -44.00 
        02/Jul/2013      366             375tas                mauro           -4.00             22.00         -88.00 

        02/Jul/2013      368             377tas                pepe          -23.00              15.00       -345.00 
        02/Jul/2013      369             378tas                pdivi         -22.00              15.00       -330.00 
        02/Jul/2013      370             379tas                phoc          -58.00              15.00       -870.00 
        02/Jul/2013      371             380tas                phan          -35.00              15.00       -525.00 
        03/Jul/2013      372             381tas                mark            -4.00             22.00         -88.00 
        03/Jul/2013      374             383tas                stvbo           -4.00             22.00         -88.00 
        03/Jul/2013      375             384tas                geral           -2.00             22.00         -44.00 
