

                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



            Producto:        Todos                                           Tipo de documento:  Todos 
           Desde fecha:  01/01/2020          Hasta fecha:31/12/2020          Documento:          Todos 
            LíneaTanq
            Considerando todos los conceptos
          Producto:p1010                     Descripción:Llenado s80 aire

            Fecha        Docto.      Folio Movimiento          Cl/Pv     Cantidad      Precio unitario   Precio total 
        07/Sep/2020      5         41519 Devol. de venta       squad           16.00             44.08         705.28 
        07/Sep/2020      5         41758 Canc. Dev. Vent       squad         -16.00              44.08       -705.28 
        09/Jul/2020    00002       39850 Ventas                chik            -3.00             50.00       -150.00 
        09/Jul/2020    00006       39854 Ventas                squad           -4.00             45.00       -180.00 
        10/Jul/2020    00017       39866 Ventas                mauro           -2.00             45.00         -90.00 
        01/Jul/2020    00021       39870 Ventas                chik            -2.00             45.00         -90.00 
        01/Jul/2020    00022       39871 Ventas                bush            -1.00             45.00         -45.00 
        01/Jul/2020    00023       40105 Canc. factura         vince           7.00              38.00         266.00 
        01/Jul/2020    00023       39872 Ventas                vince           -7.00             38.00       -266.00 
        02/Jul/2020    00025       39874 Ventas                aqua          -27.00              45.00       -1,215.00 
        03/Jul/2020    00033       39882 Ventas                squad           -2.00             45.00         -90.00 
        03/Jul/2020    00040       39889 Ventas                spla            -1.00             70.00         -70.00 

        03/Jul/2020    00040       40265 Canc. factura         spla            1.00              70.00         70.00 
        04/Jul/2020    00047       39896 Ventas                aqua          -11.00              45.00       -495.00 
        04/Jul/2020    00048       39897 Ventas                ernes           -2.00             70.00       -140.00 
        04/Jul/2020    00050       39899 Ventas                klaus           -4.00             45.00       -180.00 
        04/Jul/2020    00051       39900 Ventas                chik            -3.00             45.00       -135.00 
        05/Jul/2020    00056       39905 Ventas              ricarcas        -14.00              45.00       -630.00 
        05/Jul/2020    00056       40014 Canc. factura       ricarcas          14.00             45.00         630.00 
        05/Jul/2020    00061       39910 Ventas                sev             -2.00             45.00         -90.00 
        05/Jul/2020    00062       39911 Ventas                ernes           -2.00             70.00       -140.00 
        06/Jul/2020    00068       39917 Ventas                aqua          -29.00              45.00       -1,305.00 
        06/Jul/2020    00069       39918 Ventas                cenot           -6.00             45.00       -270.00 
        06/Jul/2020    00070       39919 Ventas                catam           -3.00             45.00       -135.00 
        06/Jul/2020    00074       39923 Ventas                scu10           -2.00             45.00         -90.00 

