

                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



            Producto:        Todos                                           Tipo de documento:  Todos 
           Desde fecha:  01/01/2023          Hasta fecha:31/12/2023          Documento:          Todos 
            LíneaTanq
            Considerando todos los conceptos
          Producto:p1010                     Descripción:Llenado s80 aire

            Fecha        Docto.      Folio Movimiento          Cl/Pv     Cantidad      Precio unitario   Precio total 
        14/Mar/2023    17444       78212 Canc. factura         arya            1.00              38.79         38.79 
        01/Ene/2023    32734       74511 Ventas                aqua          -30.00              49.00       -1,470.00 
        01/Ene/2023    32735       74512 Ventas                paws          -20.00              49.00       -980.00 
        01/Ene/2023    32736       74513 Ventas                cozex         -64.00              40.18       -2,571.52 
        01/Ene/2023    32743       74520 Ventas                scu10           -1.00             44.10         -44.10 
        01/Ene/2023    32747       74524 Ventas                spla            -2.00             44.10         -88.20 
        01/Ene/2023    32749       74526 Ventas                mbldr         -16.00              44.10       -705.60 
        02/Ene/2023    32764       74542 Ventas                cenot           -3.00             50.96       -152.88 
        02/Ene/2023    32767       74545 Ventas                star            -4.00             43.94       -175.75 
        02/Ene/2023    32771       74550 Ventas                trist           -6.00             43.94       -263.63 
        02/Ene/2023    32772       74551 Ventas              susane            -4.00             43.94       -175.75 
        02/Ene/2023    32773       74552 Ventas              marcos            -8.00             44.10       -352.80 

        02/Ene/2023    32775       74554 Ventas                mayab           -2.00             50.96       -101.92 
        02/Ene/2023    32780       74559 Ventas                yaxkin          -2.00             45.87         -91.73 
        02/Ene/2023    32782       74563 Ventas                pdive           -1.00             44.10         -44.10 
        02/Ene/2023    32783       74564 Ventas                aqua          -30.00              49.00       -1,470.00 
        02/Ene/2023    32784       74565 Ventas                paws          -14.00              49.00       -686.00 
        02/Ene/2023    32790       74571 Ventas                scu10           -2.00             44.10         -88.20 
        02/Ene/2023    32791       74572 Ventas                spla            -1.00             44.10         -44.10 
        02/Ene/2023    32793       74574 Ventas                mbldr         -19.00              44.10       -837.90 
        02/Ene/2023    32794       74575 Ventas                frank           -4.00             34.76       -139.02 
        02/Ene/2023    32795       74576 Ventas                cozex         -31.00              40.18       -1,245.58 
        02/Ene/2023    32796       74577 Ventas                pluto         -16.00              49.00       -784.00 
        03/Ene/2023    32815       74596 Ventas                bluex           -3.00             50.96       -152.88 
        03/Ene/2023    32816       74597 Ventas              marcos            -4.00             44.10       -176.40 

        03/Ene/2023    32820       74601 Ventas              susane            -4.00             43.94       -175.75 
        03/Ene/2023    32823       74604 Ventas                camil         -10.00              43.94       -439.38 
        03/Ene/2023    32824       74605 Ventas                star            -4.00             43.94       -175.75 
        03/Ene/2023    32825       74606 Ventas                momo            -2.00             43.94         -87.87 
        03/Ene/2023    32827       74608 Ventas                codol2          -7.00             74.48       -521.36 
        03/Ene/2023    32834       74615 Ventas                trist           -6.00             43.94       -263.63 
        03/Ene/2023    32839       74620 Ventas                michal          -2.00             98.00       -196.00 
        03/Ene/2023    32844       74626 Ventas                aqua          -14.00              49.00       -686.00 
        03/Ene/2023    32849       74631 Ventas                scu10           -4.00             44.10       -176.40 
        03/Ene/2023    32851       74633 Ventas                mbldr         -36.00              44.10       -1,587.60 
        03/Ene/2023    32852       74634 Ventas                frank           -1.00             34.76         -34.76 
        03/Ene/2023    32853       74635 Ventas                cozex         -37.00              40.18       -1,486.66 
        03/Ene/2023    32854       74636 Ventas                pluto           -7.00             49.00       -343.00 
        04/Ene/2023    32855       74642 Canc. factura         sire            7.00              98.00         686.00 

        04/Ene/2023    32855       74637 Ventas                sire            -7.00             98.00       -686.00 
        04/Ene/2023    32860       74643 Ventas                sire            -6.00             98.00       -588.00 
        04/Ene/2023    32873       74656 Ventas                star            -4.00             43.94       -175.75 
        04/Ene/2023    32877       74660 Ventas                camil           -4.00             43.94       -175.75 
        04/Ene/2023    32880       74663 Ventas              marcos            -6.00             44.10       -264.60 
        04/Ene/2023    32882       74665 Ventas                klaus           -6.00             43.94       -263.63 
        04/Ene/2023    32884       74667 Ventas              susane            -4.00             43.94       -175.75 
        04/Ene/2023    32888       74671 Ventas                trist           -4.00             43.94       -175.75 
        04/Ene/2023    32891       74674 Ventas                sire            -1.00             98.00         -98.00 
        04/Ene/2023    32892       74675 Ventas                pdive           -1.00             44.10         -44.10 
        04/Ene/2023    32893       74676 Ventas                dolbar          -3.00             98.00       -294.00 
        04/Ene/2023    32898       74681 Ventas                scu10           -3.00             44.10       -132.30 
        04/Ene/2023    32902       74685 Ventas                mbldr         -17.00              44.10       -749.70 

        04/Ene/2023    32903       74686 Ventas                frank           -2.00             34.76         -69.51 
        04/Ene/2023    32904       74687 Ventas                cozex         -40.00              40.18       -1,607.20 
        04/Ene/2023    32905       74688 Ventas                pluto           -8.00             49.00       -392.00 
        05/Ene/2023    32917       74700 Ventas                klaus           -6.00             43.94       -263.63 
        05/Ene/2023    32919       74702 Ventas                cenot           -7.00             50.96       -356.72 
        05/Ene/2023    32926       74711 Ventas                trist           -7.00             43.94       -307.56 

         Usuario:  ADMINISTRADOR                                  |    Fecha y hora26/06/2024  15:07                           Pág.  1 

--------------------------------------------------------------------------



                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



        05/Ene/2023    32928       74713 Ventas                klaus           -8.00             43.94       -351.50 
        05/Ene/2023    32930       74715 Ventas                star            -4.00             43.94       -175.75 
        05/Ene/2023    32940       74725 Ventas                pdive           -1.00             44.10         -44.10 
        05/Ene/2023    32941       74726 Ventas                aqua          -33.00              49.00       -1,617.00 
        05/Ene/2023    32942       74727 Ventas                paws          -18.00              49.00       -882.00 
        05/Ene/2023    32948       74733 Ventas                scu10           -4.00             44.10       -176.40 
        05/Ene/2023    32949       74734 Ventas                mbldr           -6.00             44.10       -264.60 
        05/Ene/2023    32950       74735 Ventas                mbldr         -19.00              44.10       -837.90 
        05/Ene/2023    32951       74736 Ventas                cozex         -38.00              40.18       -1,526.84 
        05/Ene/2023    32952       74737 Ventas                pluto           -6.00             49.00       -294.00 
        05/Ene/2023    32955       74740 Ventas                frank           -3.00             34.64       -103.93 

        07/Ene/2023    32965       74844 Canc. factura         andy            1.00              45.86         45.86 
        06/Ene/2023    32965       74752 Ventas                andy            -1.00             45.86         -45.86 
        06/Ene/2023    32971       74765 Ventas                mayab           -2.00             50.96       -101.92 
        06/Ene/2023    32972       74766 Ventas                star            -4.00             43.94       -175.75 
        06/Ene/2023    32980       74779 Ventas                trist           -2.00             43.94         -87.87 
        06/Ene/2023    32983       74784 Canc. factura         codol2          8.00              74.48         595.84 
        06/Ene/2023    32983       74782 Ventas                codol2          -8.00             74.48       -595.84 
        06/Ene/2023    32984       74783 Ventas                codol2          -8.00             74.48       -595.84 
        06/Ene/2023    32992       74792 Ventas                cenot           -3.00             50.96       -152.88 
        06/Ene/2023    32997       74797 Ventas                aqua          -16.00              49.00       -784.00 
        06/Ene/2023    33003       74803 Ventas                scu10           -3.00             44.10       -132.30 
        06/Ene/2023    33005       74805 Ventas                mbldr           -8.00             44.10       -352.80 
        06/Ene/2023    33006       74806 Ventas                mbldr         -29.00              44.10       -1,278.90 

        06/Ene/2023    33007       74807 Ventas                frank           -4.00             34.64       -138.57 
        06/Ene/2023    33008       74808 Ventas                cozex         -25.00              40.18       -1,004.50 
        07/Ene/2023    33023       74824 Ventas                star            -4.00             43.94       -175.75 
        07/Ene/2023    33029       74831 Ventas                klaus           -9.00             43.94       -395.44 
        07/Ene/2023    33033       74835 Ventas                camil           -3.00             43.94       -131.81 
        07/Ene/2023    33037       74839 Ventas                momo            -2.00             43.94         -87.87 
        07/Ene/2023    33045       74848 Ventas                andy            -1.00             43.94         -43.94 
        07/Ene/2023    33046       74849 Ventas              susane            -4.00             43.94       -175.75 
        07/Ene/2023    33052       74855 Ventas                aqua          -20.00              49.00       -980.00 
        07/Ene/2023    33053       74856 Ventas                paws          -22.00              49.00       -1,078.00 
        07/Ene/2023    33057       74860 Ventas                scu10           -2.00             44.10         -88.20 
        07/Ene/2023    33060       74863 Ventas                frank           -3.00             34.64       -103.93 
        07/Ene/2023    33061       74864 Ventas                cozex         -33.00              40.18       -1,325.94 
        08/Ene/2023    33077       74880 Ventas                star            -2.00             43.94         -87.87 

        08/Ene/2023    33082       74885 Ventas              marcos          -15.00              44.10       -661.50 
        08/Ene/2023    33089       74892 Ventas              susane            -2.00             43.94         -87.87 
        08/Ene/2023    33091       74894 Ventas              susane            -4.00             43.94       -175.75 
        08/Ene/2023    33100       74903 Ventas                aqua          -20.00              49.00       -980.00 
        08/Ene/2023    33101       74904 Ventas                pdive           -1.00             44.10         -44.10 
        08/Ene/2023    33104       74907 Ventas                mbldr         -37.00              44.10       -1,631.70 
        08/Ene/2023    33105       74908 Ventas                frank           -4.00             34.64       -138.57 
        08/Ene/2023    33109       74912 Ventas                scu10           -2.00             44.10         -88.20 
        08/Ene/2023    33110       74913 Ventas                cozex         -25.00              40.18       -1,004.50 
        09/Ene/2023    33121       74925 Ventas                cenot           -4.00             50.96       -203.84 
        09/Ene/2023    33127       74934 Ventas              susane            -4.00             43.94       -175.75 
        09/Ene/2023    33128       74935 Ventas                vlad            -2.00             63.21       -126.42 
        09/Ene/2023    33128       74939 Canc. factura         vlad            2.00              63.21         126.42 

        09/Ene/2023    33132       74940 Ventas                trist           -4.00             43.94       -175.75 
        09/Ene/2023    33135       74943 Ventas                pluto           -5.00             49.00       -245.00 
        09/Ene/2023    33136       74944 Ventas                trist           -9.00             43.94       -395.44 
        09/Ene/2023    33138       74946 Ventas                codol2        -11.00              74.48       -819.28 
        07/Ene/2023    33140       74948 Ventas                pdcen           -6.00             42.25       -253.49 
        09/Ene/2023    33145       74953 Ventas                geral           -9.00             50.96       -458.64 
        09/Ene/2023    33148       74956 Ventas                yaxkin          -6.00             45.86       -275.18 
        09/Ene/2023    33150       74958 Ventas                camil           -4.00             43.94       -175.75 
        09/Ene/2023    33153       74961 Ventas                bluex         -10.00              50.96       -509.60 
        09/Ene/2023    33157       74965 Ventas                aqua          -20.00              49.00       -980.00 
        09/Ene/2023    33159       74967 Ventas                pdcen           -4.00             42.25       -168.99 
