

                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



            Producto:        Todos                                           Tipo de documento:  Todos 
           Desde fecha:  01/01/2022          Hasta fecha:31/12/2022          Documento:          Todos 
            LíneaTanq
            Considerando todos los conceptos
          Producto:p1010                     Descripción:Llenado s80 aire

            Fecha        Docto.      Folio Movimiento          Cl/Pv     Cantidad      Precio unitario   Precio total 
        08/Ene/2022    17337       58987 Canc. factura         mbldr           23.00             45.00       1,035.00 
        01/Ene/2022    17587       58656 Ventas                mayab           -8.00             45.00       -360.00 
        01/Ene/2022    17590       58659 Ventas                star            -4.00             38.79       -155.17 
        01/Ene/2022    17600       58669 Ventas                mbldr         -31.00              45.00       -1,395.00 
        01/Ene/2022    17602       58671 Ventas              marcos          -14.00              38.79       -543.10 
        01/Ene/2022    17605       58674 Ventas                aqua          -25.00              45.00       -1,125.00 
        02/Ene/2022    17612       58681 Ventas                dlife           -2.00             38.79         -77.59 
        02/Ene/2022    17615       58684 Ventas                bluex         -14.00              45.00       -630.00 
        02/Ene/2022    17616       58685 Ventas                joan            -2.00             38.79         -77.59 
        02/Ene/2022    17617       58686 Ventas              pascual           -2.00             38.79         -77.59 
        02/Ene/2022    17619       58688 Ventas                mayab           -4.00             45.00       -180.00 
        02/Ene/2022    17621       58690 Ventas                mali            -4.00             38.79       -155.17 

        02/Ene/2022    17624       58693 Ventas                cem             -5.00             38.79       -193.97 
        02/Ene/2022    17626       58695 Ventas                paws          -21.00              40.00       -840.00 
        02/Ene/2022    17628       58697 Ventas                frank           -4.00             38.79       -155.17 
        02/Ene/2022    17631       58700 Ventas                squad           -1.00             38.00         -38.00 
        02/Ene/2022    17634       58703 Ventas                scu10           -2.00             40.00         -80.00 
        02/Ene/2022    17637       58706 Ventas                mbldr         -30.00              45.00       -1,350.00 
        03/Ene/2022    17641       58710 Ventas                lou             -1.00             38.79         -38.79 
        03/Ene/2022    17648       58717 Ventas                klaus           -4.00             38.79       -155.17 
        03/Ene/2022    17657       58726 Ventas                codol2          -8.00             70.00       -560.00 
        03/Ene/2022    17659       58728 Ventas                frank           -4.00             38.79       -155.17 
        03/Ene/2022    17666       58735 Ventas                scu10           -1.00             40.00         -40.00 
        03/Ene/2022    17670       58739 Ventas              marcos            -6.00             38.79       -232.76 
        03/Ene/2022    17675       58744 Ventas              marcos            -5.00             38.79       -193.97 

        04/Ene/2022    17683       58752 Ventas                javier          -1.00             38.79         -38.79 
        04/Ene/2022    17688       58757 Ventas                klaus           -4.00             38.79       -155.17 
        04/Ene/2022    17689       58759 Ventas                chris           -4.00             70.00       -280.00 
        04/Ene/2022    17691       58761 Ventas                star            -4.00             38.79       -155.17 
        04/Ene/2022    17694       58764 Ventas                trist           -6.00             38.79       -232.76 
        04/Ene/2022    17695       58765 Ventas                mali            -3.00             38.79       -116.38 
        04/Ene/2022    17696       58766 Ventas                cem             -6.00             38.79       -232.76 
        04/Ene/2022    17699       58769 Ventas                bluex         -16.00              45.00       -720.00 
