

                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



            Producto:        Todos                                           Tipo de documento:  Todos 
           Desde fecha:  01/01/2016          Hasta fecha:31/12/2016          Documento:          Todos 
            LíneaTanq
            Considerando todos los conceptos
          Producto:p1010                     Descripción:Llenado s80 aire

            Fecha        Docto.      Folio Movimiento          Cl/Pv     Cantidad      Precio unitario   Precio total 
        01/Ene/2016    11338             Ventas                hp              -1.00             26.00         -26.00 
        01/Ene/2016    11342             Ventas                stvbo           -1.00             26.00         -26.00 
        01/Ene/2016    11344             Ventas                pepe            -7.00             24.00       -168.00 
        02/Ene/2016    11351             Ventas                miche           -2.00             26.00         -52.00 
        02/Ene/2016    11351             Ventas                miche           -2.00             26.00         -52.00 
        02/Ene/2016    11352             Ventas                star            -2.00             26.00         -52.00 
        02/Ene/2016    11353             Ventas              MOSTR             -4.00             26.00       -104.00 
        02/Ene/2016    11354             Ventas                trist           -6.00             26.00       -156.00 
        02/Ene/2016    11354             Ventas                trist           -6.00             26.00       -156.00 
        02/Ene/2016    11356             Ventas                camil           -4.00             15.60         -62.40 
        02/Ene/2016    11357             Ventas                klaus         -10.00              25.00       -250.00 
        02/Ene/2016    11358             Ventas                acuat         -35.00              26.00       -910.00 

        02/Ene/2016    11362             Ventas                pepe            -8.00             22.00       -176.00 
        14/Ene/2016    11362             Canc. factura         pepe            8.00              22.00         176.00 
        02/Ene/2016    11363             Ventas                frank         -18.00              26.00       -468.00 
        02/Ene/2016    11364             Ventas                phoc          -37.00              18.00       -666.00 
        02/Ene/2016    11365             Ventas                scu10           -7.00             24.00       -168.00 
        02/Ene/2016    11366             Ventas                abyss           -8.00             24.00       -192.00 
        03/Ene/2016    11367             Ventas                yucat           -4.00             26.00       -104.00 
        03/Ene/2016    11368             Ventas                star            -2.00             26.00         -52.00 
        03/Ene/2016    11369             Ventas                trist           -6.00             26.00       -156.00 
        03/Ene/2016    11370             Ventas                stvbo           -8.00             26.00       -208.00 
        03/Ene/2016    11377             Ventas                pepe            -8.00             24.00       -192.00 
        03/Ene/2016    11379             Ventas                phoc          -31.00              18.00       -558.00 
        03/Ene/2016    11380             Ventas                scu10           -4.00             24.00         -96.00 

        03/Ene/2016    11381             Ventas                phan          -67.00              24.00       -1,608.00 
        03/Ene/2016    11382             Ventas                abyss           -1.00             24.00         -24.00 
        04/Ene/2016    11387             Ventas                star            -2.00             26.00         -52.00 
        04/Ene/2016    11389             Ventas                stvbo         -16.00              26.00       -416.00 
        04/Ene/2016    11391             Ventas                klaus           -6.00             25.00       -150.00 
        04/Ene/2016    11392             Ventas              MOSTR             -1.00             25.00         -25.00 
        04/Ene/2016    11393             Ventas                pepe            -6.00             24.00       -144.00 
        04/Ene/2016    11394             Ventas                abyss           -6.00             22.00       -132.00 
        04/Ene/2016    11396             Ventas                phoc          -29.00              18.00       -522.00 
        04/Ene/2016    11397             Ventas                scu10           -3.00             24.00         -72.00 
        04/Ene/2016    11398             Ventas                villa           -2.00             26.00         -52.00 
        04/Ene/2016    11400             Ventas                acuat         -36.00              26.00       -936.00 
        05/Ene/2016    11401             Ventas              MOSTR             -1.00             26.00         -26.00 
        05/Ene/2016    11403             Ventas                stvbo           -8.00             26.00       -208.00 

        05/Ene/2016    11405             Ventas                klaus         -14.00              25.00       -350.00 
        05/Ene/2016    11406             Ventas                trist           -9.00             26.00       -234.00 
        05/Ene/2016    11411             Ventas                star            -2.00             26.00         -52.00 
        05/Ene/2016    11412             Ventas              MOSTR             -2.00             26.00         -52.00 
        05/Ene/2016    11415             Ventas                pepe          -10.00              24.00       -240.00 
        14/Ene/2016    11415             Canc. factura         pepe            10.00             24.00         240.00 
        05/Ene/2016    11416             Ventas                phoc          -24.00              18.00       -432.00 
        05/Ene/2016    11417             Ventas                phan          -36.00              24.00       -864.00 
        05/Ene/2016    11420             Ventas                abyss           -8.00             24.00       -192.00 
        06/Ene/2016    11421             Ventas                star            -2.00             26.00         -52.00 
        06/Ene/2016    11427             Ventas                klaus           -6.00             22.00       -132.00 
        06/Ene/2016    11428             Ventas                acuat         -22.00              26.00       -572.00 
        06/Ene/2016    11429             Ventas                stvbo         -16.00              26.00       -416.00 

        06/Ene/2016    11430             Ventas                trist         -11.00              26.00       -286.00 
        06/Ene/2016    11431             Ventas                abyss           -8.00             24.00       -192.00 
        14/Ene/2016    11432             Canc. factura         pepe            4.00              13.20         52.80 
        06/Ene/2016    11432             Ventas                pepe            -4.00             13.20         -52.80 
        06/Ene/2016    11434             Ventas                phoc          -29.00              18.00       -522.00 
        06/Ene/2016    11435             Ventas                scu10           -2.00             24.00         -48.00 

         Usuario:  ADMINISTRADOR                                  |    Fecha y hora26/06/2024  14:52                           Pág.  1 

--------------------------------------------------------------------------



                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



        06/Ene/2016    11437             Ventas              MOSTR             -1.00             26.00         -26.00 
        06/Ene/2016    11438             Ventas              MOSTR             -3.00             26.00         -78.00 
        07/Ene/2016    11441             Ventas                chino           -2.00             26.00         -52.00 
        07/Ene/2016    11443             Ventas                acuat         -20.00              26.00       -520.00 
        07/Ene/2016    11444             Ventas                stvbo         -14.00              26.00       -364.00 
        07/Ene/2016    11445             Ventas                star            -2.00             26.00         -52.00 
        07/Ene/2016    11446             Ventas                trist           -9.00             26.00       -234.00 
        07/Ene/2016    11447             Ventas              MOSTR             -1.00             26.00         -26.00 
        07/Ene/2016    11449             Ventas                buess           -2.00             26.00         -52.00 
        07/Ene/2016    11450             Ventas                klaus         -11.00              26.00       -286.00 
        07/Ene/2016    11452             Ventas                pepe            -5.00             24.00       -120.00 

        07/Ene/2016    11454             Ventas                phoc          -33.00              18.00       -594.00 
        07/Ene/2016    11455             Ventas                scu10           -5.00             24.00       -120.00 
        07/Ene/2016    11456             Ventas                phan          -17.00              24.00       -408.00 
        07/Ene/2016    11457             Ventas                abyss           -4.00             24.00         -96.00 
        14/Ene/2016    11458             Canc. factura         acuat           20.00             24.00         480.00 
        08/Ene/2016    11458             Ventas                acuat         -20.00              24.00       -480.00 
        08/Ene/2016    11459             Ventas                star            -4.00             26.00       -104.00 
        08/Ene/2016    11460             Ventas                hp              -8.00             26.00       -208.00 
        08/Ene/2016    11464             Ventas                klaus           -6.00             25.00       -150.00 
        08/Ene/2016    11466             Ventas                trist           -9.00             26.00       -234.00 
        08/Ene/2016    11467             Ventas                pepe            -5.00             24.00       -120.00 
        08/Ene/2016    11469             Ventas                phoc          -31.00              18.00       -558.00 
        08/Ene/2016    11470             Ventas                scu10           -4.00             24.00         -96.00 

        08/Ene/2016    11471             Ventas                arian           -2.00             26.00         -52.00 
        09/Ene/2016    11475             Ventas                acuat         -17.00              26.00       -442.00 
        09/Ene/2016    11477             Ventas                rogel           -8.00             40.00       -320.00 
        09/Ene/2016    11478             Ventas                star            -2.00             26.00         -52.00 
        09/Ene/2016    11480             Ventas                geral           -2.00             26.00         -52.00 
        09/Ene/2016    11481             Ventas                raul            -1.00             26.00         -26.00 
        09/Ene/2016    11482             Ventas                stvbo         -12.00              26.00       -312.00 
        09/Ene/2016    11485             Ventas                klaus           -6.00             25.00       -150.00 
        09/Ene/2016    11487             Ventas                pepe            -4.00             24.00         -96.00 
        09/Ene/2016    11489             Ventas                phoc          -33.00              18.00       -594.00 
        09/Ene/2016    11491             Ventas                hp              -4.00             26.00       -104.00 
        09/Ene/2016    11492             Ventas                nik             -2.00             26.00         -52.00 
        10/Ene/2016    11494             Ventas                star            -2.00             26.00         -52.00 
        10/Ene/2016    11498             Ventas                stvbo         -16.00              26.00       -416.00 

        10/Ene/2016    11501             Ventas              MOSTR             -1.00             26.00         -26.00 
        10/Ene/2016    11503             Ventas                acuat           -8.00             26.00       -208.00 
        10/Ene/2016    11505             Ventas                pepe            -7.00             24.00       -168.00 
        10/Ene/2016    11507             Ventas                phoc          -26.00              18.00       -468.00 
