

                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



            Producto:        Todos                                           Tipo de documento:  Todos 
           Desde fecha:  01/01/2021          Hasta fecha:31/12/2021          Documento:          Todos 
            LíneaTanq
            Considerando todos los conceptos
          Producto:p1010                     Descripción:Llenado s80 aire

            Fecha        Docto.      Folio Movimiento          Cl/Pv     Cantidad      Precio unitario   Precio total 
        01/Ene/2021    04399       44576 Ventas                pdive           -2.00             43.00         -86.00 
        01/Ene/2021    04410       44587 Ventas                squad           -8.00             38.00       -304.00 
        02/Ene/2021    04420       44597 Ventas                cenot           -2.00             45.00         -90.00 
        02/Ene/2021    04427       44605 Ventas                plane           -6.00             45.00       -270.00 
        02/Ene/2021    04432       44677 Canc. factura         codol2          9.00              70.00         630.00 
        02/Ene/2021    04432       44610 Ventas                codol2          -9.00             70.00       -630.00 
        02/Ene/2021    04433       44611 Ventas                codol2          -9.00             70.00       -630.00 
        02/Ene/2021    04434       44612 Ventas                arian           -1.00             45.00         -45.00 
        02/Ene/2021    04436       44614 Ventas                gina            -2.00             45.00         -90.00 
        02/Ene/2021    04439       44617 Ventas                pdcen           -6.00             40.00       -240.00 
        02/Ene/2021    04440       44618 Ventas                spla            -2.00             38.00         -76.00 
        02/Ene/2021    04448       44626 Ventas                frank           -2.00             45.00         -90.00 

        02/Ene/2021    04450       44628 Ventas                aqua            -8.00             45.00       -360.00 
        02/Ene/2021    04451       44629 Ventas                pdive           -1.00             43.00         -43.00 
        03/Ene/2021    04458       44636 Ventas                plane           -6.00             45.00       -270.00 
        03/Ene/2021    04459       44637 Ventas                buzo            -2.00             45.00         -90.00 
        03/Ene/2021    04462       44640 Ventas              pascual           -2.00             45.00         -90.00 
        03/Ene/2021    04466       44644 Ventas                pdive           -2.00             43.00         -86.00 
        03/Ene/2021    04467       44645 Ventas                aqua          -15.00              45.00       -675.00 
        03/Ene/2021    04468       44646 Ventas                paws          -10.00              40.00       -400.00 
        03/Ene/2021    04469       44647 Ventas                pdcen           -9.00             40.00       -360.00 
        03/Ene/2021    04474       44652 Ventas                frank           -2.00             45.00         -90.00 
        03/Ene/2021    04476       44654 Ventas                scu10           -6.00             40.00       -240.00 
        04/Ene/2021    04488       44666 Ventas                bluex           -2.00             45.00         -90.00 
        04/Ene/2021    04490       44668 Ventas                cenot           -3.00             45.00       -135.00 

        04/Ene/2021    04491       44669 Ventas                bluex         -10.00              45.00       -450.00 
        04/Ene/2021    04492       44670 Ventas                klaus           -6.00             45.00       -270.00 
        04/Ene/2021    04494       44672 Ventas                plane           -6.00             45.00       -270.00 
        04/Ene/2021    04500       44681 Ventas                nelly           -2.00             45.00         -90.00 
        04/Ene/2021    04508       44690 Ventas                mali            -6.00             45.00       -270.00 
        04/Ene/2021    04511       44693 Ventas                buzo            -2.00             45.00         -90.00 
        04/Ene/2021    04514       44696 Ventas                pdive           -4.00             43.00       -172.00 
        04/Ene/2021    04515       44697 Ventas                paws          -16.00              40.00       -640.00 
        04/Ene/2021    04516       44698 Ventas                pdcen           -8.00             40.00       -320.00 
        04/Ene/2021    04518       44700 Ventas                squad           -3.00             38.00       -114.00 
        04/Ene/2021    04518       44840 Canc. factura         squad           3.00              38.00         114.00 
        04/Ene/2021    04519       44838 Canc. factura         scu10           3.00              40.00         120.00 
        04/Ene/2021    04519       44701 Ventas                scu10           -3.00             40.00       -120.00 
        04/Ene/2021    04523       44705 Ventas                frank           -4.00             45.00       -180.00 

        05/Ene/2021    04536       44718 Ventas                cenot           -2.00             45.00         -90.00 
        05/Ene/2021    04539       44721 Ventas                miche           -4.00             45.00       -180.00 
        05/Ene/2021    04542       44724 Ventas                angel           -4.00             45.00       -180.00 
        05/Ene/2021    04544       44726 Ventas                plane           -6.00             45.00       -270.00 
        05/Ene/2021    04548       44730 Ventas              pascual           -2.00             45.00         -90.00 
        05/Ene/2021    04553       44735 Ventas                gina            -2.00             45.00         -90.00 
        05/Ene/2021    04554       44736 Ventas                pdive           -6.00             43.00       -258.00 
        05/Ene/2021    04555       44737 Ventas                aqua          -11.00              45.00       -495.00 
        05/Ene/2021    04556       44738 Ventas                paws          -11.00              40.00       -440.00 
        05/Ene/2021    04558       44740 Ventas                pdcen           -2.00             40.00         -80.00 
        05/Ene/2021    04560       44742 Ventas                squad         -12.00              38.00       -456.00 
        05/Ene/2021    04561       44743 Ventas                scu10           -2.00             40.00         -80.00 
        05/Ene/2021    04562       44744 Ventas                spla            -2.00             38.00         -76.00 

        05/Ene/2021    04565       44747 Ventas                frank           -4.00             45.00       -180.00 
        06/Ene/2021    04574       44756 Ventas                cenot           -4.00             45.00       -180.00 
        06/Ene/2021    04576       44758 Ventas                star            -3.00             45.00       -135.00 
        06/Ene/2021    04577       44759 Ventas                codol2          -7.00             70.00       -490.00 
        06/Ene/2021    04583       44765 Ventas                peio            -5.00             45.00       -225.00 
        06/Ene/2021    04584       44766 Ventas              pascual           -2.00             45.00         -90.00 

         Usuario:  ADMINISTRADOR                                  |    Fecha y hora26/06/2024  15:04                           Pág.  1 

--------------------------------------------------------------------------



                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



        06/Ene/2021    04591       44773 Ventas                miche           -8.00             45.00       -360.00 
        06/Ene/2021    04594       44776 Ventas                pdcen         -10.00              40.00       -400.00 
        06/Ene/2021    04596       44778 Ventas                squad         -12.00              38.00       -456.00 
        06/Ene/2021    04600       44782 Ventas                frank           -4.00             45.00       -180.00 
        06/Ene/2021    04602       44784 Ventas                mbldr         -19.00              40.00       -760.00 
        06/Ene/2021    04603       44785 Ventas                scu10           -1.00             40.00         -40.00 
        07/Ene/2021    04606       44788 Ventas                klaus           -2.00             45.00         -90.00 
        07/Ene/2021    04611       44793 Ventas                cenot           -3.00             45.00       -135.00 
        07/Ene/2021    04614       44796 Ventas                peio            -7.00             45.00       -315.00 
        07/Ene/2021    04618       44800 Ventas                miche           -4.00             45.00       -180.00 
        07/Ene/2021    04619       44801 Ventas              pascual           -2.00             45.00         -90.00 

        07/Ene/2021    04621       44803 Ventas                star            -3.00             45.00       -135.00 
        07/Ene/2021    04626       44809 Ventas                gina            -2.00             45.00         -90.00 
        07/Ene/2021    04627       44810 Ventas                pdive           -3.00             43.00       -129.00 
        07/Ene/2021    04629       44812 Ventas                aqua          -20.00              45.00       -900.00 
        07/Ene/2021    04631       44814 Ventas                mbldr         -30.00              40.00       -1,200.00 
        07/Ene/2021    04633       44816 Ventas                squad         -14.00              38.00       -532.00 
        07/Ene/2021    04634       44817 Ventas                scu10           -2.00             40.00         -80.00 
        07/Ene/2021    04635       45070 Canc. factura         spla            2.00              38.00         76.00 
        07/Ene/2021    04635       44818 Ventas                spla            -2.00             38.00         -76.00 
        07/Ene/2021    04638       44821 Ventas                frank           -4.00             45.00       -180.00 
        08/Ene/2021    04649       44832 Ventas                cenot           -2.00             45.00         -90.00 
        08/Ene/2021    04650       44833 Ventas              MOSTR             -1.00             70.00         -70.00 
        08/Ene/2021    04651       44834 Ventas                klaus           -2.00             45.00         -90.00 

        04/Ene/2021    04654       44839 Ventas                scu10           -3.00             40.00       -120.00 
        04/Ene/2021    04655       44841 Ventas                squad           -3.00             38.00       -114.00 
        08/Ene/2021    04660       44861 Ventas                pdive           -7.00             43.00       -301.00 
        08/Ene/2021    04661       44862 Ventas                aqua            -4.00             45.00       -180.00 
        08/Ene/2021    04662       44863 Ventas                paws          -27.00              40.00       -1,080.00 
        08/Ene/2021    04666       44867 Ventas                gina            -1.00             45.00         -45.00 
        08/Ene/2021    04667       44868 Ventas                mbldr         -13.00              40.00       -520.00 
        08/Ene/2021    04669       44870 Ventas                frank           -4.00             45.00       -180.00 
        08/Ene/2021    04671       44872 Ventas                spla            -1.00             38.00         -38.00 
        08/Ene/2021    04674       44875 Ventas                squad         -16.00              38.00       -608.00 
        08/Ene/2021    04675       44876 Ventas                mbldr         -14.00              40.00       -560.00 
        08/Ene/2021    04677       44878 Ventas                scu10           -1.00             40.00         -40.00 
        09/Ene/2021    04691       44894 Ventas                cenot           -1.00             45.00         -45.00 
        09/Ene/2021    04697       44900 Ventas                codol2          -8.00             70.00       -560.00 

        09/Ene/2021    04704       44907 Ventas                trist         -12.00              45.00       -540.00 
        09/Ene/2021    04708       44912 Ventas                frank           -4.00             45.00       -180.00 
        09/Ene/2021    04709       44913 Ventas                mbldr         -16.00              40.00       -640.00 
        09/Ene/2021    04711       44915 Ventas                squad         -18.00              38.00       -684.00 
        09/Ene/2021    04714       44918 Ventas                scu10           -5.00             40.00       -200.00 
        09/Ene/2021    04716       44920 Ventas                mbldr         -17.00              40.00       -680.00 
        10/Ene/2021    04718       44922 Ventas                yaxkin          -1.00             45.00         -45.00 
