

                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



            Producto:        Todos                                           Tipo de documento:  Todos 
           Desde fecha:  01/01/2014          Hasta fecha:31/12/2014          Documento:          Todos 
            LíneaTanq
            Considerando todos los conceptos
          Producto:p1010                     Descripción:Llenado s80 aire

            Fecha        Docto.      Folio Movimiento          Cl/Pv     Cantidad      Precio unitario   Precio total 
        09/Ene/2014      2718         2820entas                luisr           -8.00             20.00       -160.00 
        09/Ene/2014      2719         2821entas                dietz           -8.00             22.00       -176.00 
        10/Ene/2014      2721         2823entas                acuat         -35.00              22.00       -770.00 
        10/Ene/2014      2725         2827entas                stvbo         -10.00              22.00       -220.00 
        10/Ene/2014      2726         2828entas                klaus           -2.00             20.00         -40.00 

        10/Ene/2014      2727         2829entas                arian           -4.00             22.00         -88.00 
        10/Ene/2014      2728         2830entas                trist           -9.00             22.00       -198.00 
        10/Ene/2014      2729         2831entas                phili           -7.00             25.00       -175.00 
        10/Ene/2014      2730         2832entas                pdivi         -35.00              17.00       -595.00 
        10/Ene/2014      2731         2833entas                phoc          -42.00              17.00       -714.00 
        10/Ene/2014      2732         2834entas                abyss           -6.00             20.00       -120.00 
        11/Ene/2014      2733         2835entas                acuat         -11.00              22.00       -242.00 
        11/Ene/2014      2734         2836entas                stvbo         -10.00              22.00       -220.00 
        11/Ene/2014      2735         2837entas                arian           -6.00             22.00       -132.00 
        11/Ene/2014      2736         2838entas                klaus           -6.00             20.00       -120.00 
        11/Ene/2014      2740         2842entas                pepe          -20.00              17.00       -340.00 
        11/Ene/2014      2741         2843entas                pdivi         -25.00              17.00       -425.00 
        11/Ene/2014      2742         2844entas                phoc          -40.00              17.00       -680.00 
        11/Ene/2014      2743         2845entas                phan          -25.00              17.00       -425.00 

        12/Ene/2014      2744         2846entas                yucat         -10.00              22.00       -220.00 
        12/Ene/2014      2747         2849entas                trist           -6.00             22.00       -132.00 
        12/Ene/2014      2748         2850entas                stvbo           -8.00             22.00       -176.00 
        12/Ene/2014      2750         2852entas                arian           -8.00             22.00       -176.00 
        12/Ene/2014      2751         2853entas                pepe          -15.00              17.00       -255.00 
        12/Ene/2014      2752         2854entas                abyss           -7.00             20.00       -140.00 
        12/Ene/2014      2753         2855entas                phoc          -45.00              17.00       -765.00 
        12/Ene/2014      2754         2856entas                pdivi         -30.00              17.00       -510.00 
        13/Ene/2014      2755         2857entas                miche           -2.00             22.00         -44.00 
        13/Ene/2014      2756         2858entas                arian           -4.00             22.00         -88.00 
        13/Ene/2014      2757         2859entas                trist           -6.00             22.00       -132.00 
        13/Ene/2014      2758         2860entas                acuat           -4.00             22.00         -88.00 
        13/Ene/2014      2759         2861entas                raul            -2.00             20.00         -40.00 

        13/Ene/2014      2760         2862entas                klaus           -6.00             20.00       -120.00 
        13/Ene/2014      2761         2863entas                yucat           -6.00             22.00       -132.00 
        12/Ene/2014      2764         2866entas                stvbo         -22.00              22.00       -484.00 
        13/Ene/2014      2765         2867entas                pepe            -2.00             17.00         -34.00 
        13/Ene/2014      2766         2868entas                pdivi         -20.00              17.00       -340.00 
        13/Ene/2014      2767         2869entas                phoc          -42.00              17.00       -714.00 
        13/Ene/2014      2768         2870entas                phan          -30.00              17.00       -510.00 
        14/Ene/2014      2770         2872entas                stvbo         -19.00              22.00       -418.00 
        14/Ene/2014      2774         2876entas                arian           -4.00             22.00         -88.00 
        14/Ene/2014      2775         2877entas              MOSTR             -9.00             25.00       -225.00 
        14/Ene/2014      2776         2878entas                miche           -4.00             22.00         -88.00 
        14/Ene/2014      2777         2879entas                trist           -6.00             22.00       -132.00 
        14/Ene/2014      2779         2881entas                pepe            -5.00             17.00         -85.00 

        14/Ene/2014      2780         2882entas                pdivi         -32.00              17.00       -544.00 
--------------------------------------------------------------------------



                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



        14/Ene/2014      2781         2883entas                phoc          -55.00              17.00       -935.00 
        14/Ene/2014      2782         2884entas                phan          -20.00              17.00       -340.00 
        15/Ene/2014      2783         2885entas                acuat         -49.00              22.00       -1,078.00 
        15/Ene/2014      2784         2886entas                trist           -6.00             22.00       -132.00 
        15/Ene/2014      2785         2887entas                klaus           -8.00             20.00       -160.00 
        15/Ene/2014      2786         2888entas                ander           -6.00             22.00       -132.00 
        15/Ene/2014      2787         2889entas                miche           -7.00             22.00       -154.00 
        15/Ene/2014      2788         2890entas                phili           -8.00             25.00       -200.00 
        15/Ene/2014      2789         2891entas                stvbo         -21.00              22.00       -462.00 
        15/Ene/2014      2790         2892entas                abyss           -4.00             20.00         -80.00 
        15/Ene/2014      2791         2893entas                pepe          -11.00              17.00       -187.00 

        15/Ene/2014      2792         2894entas                pdivi         -23.00              17.00       -391.00 
        15/Ene/2014      2793         2895entas                phoc          -48.00              17.00       -816.00 
