

                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



            Producto:        Todos                                           Tipo de documento:  Todos 
           Desde fecha:  01/01/2024          Hasta fecha:26/06/2024          Documento:          Todos 
            LíneaTanq
            Considerando todos los conceptos
          Producto:p1010                     Descripción:Llenado s80 aire

            Fecha        Docto.      Folio Movimiento          Cl/Pv     Cantidad      Precio unitario   Precio total 
        01/Ene/2024    47852       90231 Ventas                pdcen           -2.00             42.25         -84.50 
        01/Ene/2024    47864       90243 Ventas                mbldr           -5.00             44.10       -220.50 
        02/Ene/2024    47876       90255 Ventas                dolriv          -2.00             98.00       -196.00 
        02/Ene/2024    47891       90278 Ventas                dolriv          -1.00             98.00         -98.00 
        02/Ene/2024    47898       90286 Ventas              susane            -2.00             43.94         -87.87 
        02/Ene/2024    47906       90294 Ventas                bluex           -2.00             50.96       -101.92 
        02/Ene/2024    47906       90372 Canc. factura         bluex           2.00              50.96         101.92 
        02/Ene/2024    47907       90295 Ventas                bluex           -1.00             50.96         -50.96 
        02/Ene/2024    47910       90298 Ventas                mali            -3.00             54.50       -163.50 
        02/Ene/2024    47914       90302 Ventas                pdive           -4.00             44.10       -176.40 
        02/Ene/2024    47915       90303 Ventas                aqua          -15.00              49.00       -735.00 
        02/Ene/2024    47916       90304 Ventas                paws          -27.00              49.00       -1,323.00 

        02/Ene/2024    47917       90305 Ventas                pdive           -2.00             44.10         -88.20 
        02/Ene/2024    47918       90306 Ventas              marcos          -18.00              44.10       -793.80 
        02/Ene/2024    47921       90309 Ventas                pdcen           -2.00             42.25         -84.50 
        02/Ene/2024    47923       90311 Ventas                scu10           -2.00             44.10         -88.20 
        02/Ene/2024    47931       90319 Ventas                mbldr         -16.00              44.10       -705.60 
        02/Ene/2024    47933       90321 Ventas                xico            -8.00             49.00       -392.00 
        02/Ene/2024    47935       90323 Ventas                mbldr         -13.00              44.10       -573.30 
        02/Ene/2024    47936       90324 Ventas                mbldr         -10.00              44.10       -441.00 
        03/Ene/2024    47946       90334 Ventas                dolriv          -2.00             98.00       -196.00 
        03/Ene/2024    47965       90357 Ventas              marcos            -9.00             44.10       -396.90 
        03/Ene/2024    47968       90360 Ventas                codol2          -8.00             74.48       -595.84 
        03/Ene/2024    47972       90364 Ventas              akubay          -10.00              50.96       -509.60 
        03/Ene/2024    47974       90366 Ventas                bluex           -6.00             50.96       -305.76 

        03/Ene/2024    47980       90374 Ventas                cenot           -9.00             50.96       -458.64 
        03/Ene/2024    47986       90380 Ventas                aqua          -20.00              49.00       -980.00 
        03/Ene/2024    47987       90381 Ventas                dolbar          -2.00             98.00       -196.00 
        03/Ene/2024    47989       90383 Ventas                scu10           -2.00             44.10         -88.20 
        03/Ene/2024    47995       90389 Ventas                aydin           -1.00             44.10         -44.10 
        03/Ene/2024    47996       90390 Ventas                frank           -2.00             34.64         -69.29 
        03/Ene/2024    47998       90392 Ventas                xico            -7.00             49.00       -343.00 
        03/Ene/2024    48000       90394 Ventas                mbldr         -25.00              44.10       -1,102.50 
        04/Ene/2024    48007       90401 Ventas                dolriv          -1.00             98.00         -98.00 
        04/Ene/2024    48009       90403 Ventas                miche           -4.00             43.94       -175.75 
        04/Ene/2024    48024       90418 Ventas                bluex           -6.00             50.96       -305.76 
        04/Ene/2024    48026       90420 Ventas                garn            -2.00             54.50       -109.00 
        04/Ene/2024    48029       90423 Ventas                trist         -10.00              43.94       -439.38 
        04/Ene/2024    48030       90424 Ventas              marcos            -8.00             44.10       -352.80 

        04/Ene/2024    48031       90425 Ventas                bluex           -6.00             50.96       -305.76 
        04/Ene/2024    48036       90430 Ventas                dolriv          -2.00             98.00       -196.00 
        04/Ene/2024    48037       90431 Ventas              akubay            -1.00             50.96         -50.96 
        04/Ene/2024    48041       90435 Ventas              susane            -2.00             43.94         -87.87 
        04/Ene/2024    48047       90442 Ventas                aqua          -26.00              49.00       -1,274.00 
        04/Ene/2024    48048       90443 Ventas                paws          -24.00              49.00       -1,176.00 
        04/Ene/2024    48050       90445 Ventas                pdcen           -6.00             42.25       -253.49 
        04/Ene/2024    48052       90447 Ventas                scu10           -2.00             44.10         -88.20 
        04/Ene/2024    48053       90448 Ventas                spla            -1.00             35.13         -35.13 
        04/Ene/2024    48058       90453 Ventas                xico          -10.00              49.00       -490.00 
        05/Ene/2024    48076       90471 Ventas                klaus         -10.00              43.94       -439.38 
        05/Ene/2024    48077       90472 Ventas              akubay            -4.00             43.94       -175.75 
        05/Ene/2024    48078       90473 Ventas                xico            -4.00             49.00       -196.00 

        05/Ene/2024    48080       90475 Ventas                frank           -2.00             34.64         -69.29 
        05/Ene/2024    48082       90477 Ventas                camil           -6.00             43.94       -263.63 
        05/Ene/2024    48093       90488 Ventas                aqua          -19.00              49.00       -931.00 
        05/Ene/2024    48095       90490 Ventas                scu10           -2.00             44.10         -88.20 
        05/Ene/2024    48101       90496 Ventas                frank           -2.00             34.64         -69.29 
        05/Ene/2024    48104       90499 Ventas                xico            -4.00             49.00       -196.00 

         Usuario:  ADMINISTRADOR                                  |    Fecha y hora26/06/2024  15:08                           Pág.  1 

--------------------------------------------------------------------------



                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



        05/Ene/2024    48105       90500 Ventas                pluto         -10.00              49.00       -490.00 
        06/Ene/2024    48113       90508 Ventas                mbldr           -5.00             44.10       -220.50 
        06/Ene/2024    48128       90523 Ventas                bluex           -4.00             50.96       -203.84 
        06/Ene/2024    48129       90524 Ventas                vicrub          -2.00             54.50       -109.00 
        06/Ene/2024    48131       90526 Ventas                cenot           -6.00             50.96       -305.76 
        06/Ene/2024    48133       90528 Ventas                bluex           -8.00             50.96       -407.68 
        06/Ene/2024    48135       90530 Ventas                mayab           -4.00             50.96       -203.84 
        06/Ene/2024    48136       90531 Ventas              marcos          -19.00              44.10       -837.90 
        06/Ene/2024    48145       90540 Ventas                mali            -4.00             54.50       -218.00 
        06/Ene/2024    48146       90541 Ventas                codol2          -9.00             74.48       -670.32 
        06/Ene/2024    48157       90553 Ventas                dolbar          -4.00             98.00       -392.00 

        06/Ene/2024    48159       90555 Ventas                pdcen           -6.00             42.25       -253.49 
        06/Ene/2024    48161       90557 Ventas                scu10           -1.00             44.10         -44.10 
        06/Ene/2024    48168       90564 Ventas                mbldr         -11.00              44.10       -485.10 
        06/Ene/2024    48169       90565 Ventas                mbldr         -13.00              44.10       -573.30 
        07/Ene/2024    48186       90583 Ventas                vicrub          -2.00             54.50       -109.00 
        07/Ene/2024    48193       90590 Ventas                star            -2.00             43.94         -87.87 
        07/Ene/2024    48194       90591 Ventas              susane            -6.00             43.94       -263.63 
        07/Ene/2024    48197       90594 Ventas              akubay          -11.00              43.94       -483.31 
        07/Ene/2024    48211       90608 Ventas                mbldr         -15.00              44.10       -661.50 
        07/Ene/2024    48212       90609 Ventas                xico            -4.00             49.00       -196.00 
        07/Ene/2024    48214       90611 Ventas                pdcen           -4.00             42.25       -168.99 
        07/Ene/2024    48215       90612 Ventas                scu10           -3.00             44.10       -132.30 
