

                                                                     CUZEL SA DE CV 


                                                                      Resumen de movimientos



            Producto:        Todos                                           Tipo de documento:  Todos 
           Desde fecha:  01/01/2015          Hasta fecha:31/12/2015          Documento:          Todos 
            LíneaTanq
            Considerando todos los conceptos
          Producto:p1010                     Descripción:Llenado s80 aire

            Fecha        Docto.      Folio Movimiento          Cl/Pv     Cantidad      Precio unitario   Precio total 
        01/Ene/2015      6942         7344anc. factura         jorge           2.00              22.00         44.00 
        03/Ene/2015      7140         7356entas                abyss           -7.00             20.00       -140.00 
        04/Ene/2015      7141         7357entas                abyss         -22.00              20.00       -440.00 
        05/Ene/2015      7142         7358entas                abyss         -18.00              20.00       -360.00 
        06/Ene/2015      7143         7359entas                abyss           -6.00             20.00       -120.00 
        08/Ene/2015      7144         7360entas                star            -2.00             25.00         -50.00 
        09/Ene/2015      7145         7361entas                star            -2.00             25.00         -50.00 
        10/Ene/2015      7147         7363entas                star            -4.00             40.00       -160.00 
        11/Ene/2015      7148         7364entas                star            -4.00             25.00       -100.00 
        12/Ene/2015      7149         7365entas                star            -4.00             25.00       -100.00 
        12/Ene/2015      7150         7366entas                abyss           -6.00             20.00       -120.00 
        13/Ene/2015      7151         7367entas                star            -4.00             25.00       -100.00 

        14/Ene/2015      7153         7369entas                star            -4.00             25.00       -100.00 
        15/Ene/2015      7154         7370entas                star            -4.00             25.00       -100.00 
        15/Ene/2015      7155         7371entas                abyss         -12.00              20.00       -240.00 
        16/Ene/2015      7156         7372entas                star            -4.00             25.00       -100.00 
        17/Ene/2015      7157         7373entas                star            -4.00             25.00       -100.00 
        17/Ene/2015      7158         7374entas                abyss         -16.00              20.00       -320.00 
        18/Ene/2015      7159         7375entas                star            -4.00             25.00       -100.00 
        18/Ene/2015      7160         7376entas                abyss         -13.00              20.00       -260.00 
        01/Ene/2015      7164         7380entas              MOSTR           -15.00              20.00       -300.00 
        02/Ene/2015      7169         7385entas                stvbo         -10.00              22.00       -220.00 
        02/Ene/2015      7172         7388entas              MOSTR             -2.00             25.00         -50.00 
        02/Ene/2015      7172         7388entas              MOSTR           -10.00              25.00       -250.00 
        29/Ene/2015      7173         7496anc. factura         trist           8.00              22.00         176.00 

        20/Ene/2015      7173         7389entas                trist           -8.00             22.00       -176.00 
        02/Ene/2015      7175         7391entas                klaus           -4.00             20.00         -80.00 
        02/Ene/2015      7178         7394entas                pepe          -17.00              17.00       -289.00 
        02/Ene/2015      7180         7396entas                phoc          -33.00              17.00       -561.00 
        03/Ene/2015      7186         7402entas                klaus         -16.00              20.00       -320.00 
        03/Ene/2015      7187         7403entas                trist           -8.00             22.00       -176.00 
        03/Ene/2015      7188         7404entas                pepe          -11.00              17.00       -187.00 
        03/Ene/2015      7189         7405entas                phoc          -67.00              17.00       -1,139.00 
